id,name,price,description,image_url,category,brand,color,size,tech
SKU-2039,Smart TV LG 4K,2012.82,Produto original LG.,https://fake-cdn.com/images/39.jpg,"[""Eletrônicos > TVs > 4K"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2040,Camiseta Adidas Feminino Verão,125.56,Produto original Adidas.,https://fake-cdn.com/images/40.jpg,"[""Roupas > Feminino > Camisetas"", ""Adidas > Camisetas > Verão"", ""Coleção 2026""]",Adidas,Azul,P,
SKU-2041,Smart TV Apple QLED,3092.44,Produto original Apple.,https://fake-cdn.com/images/41.jpg,"[""Eletrônicos > TVs > QLED"", ""Apple > Telas > Cinema em Casa""]",Apple,,,
SKU-2042,Camiseta Adidas Masculino Inverno,134.33,Produto original Adidas.,https://fake-cdn.com/images/42.jpg,"[""Roupas > Masculino > Camisetas"", ""Adidas > Camisetas > Inverno"", ""Coleção 2026""]",Adidas,Vermelho,GG,
SKU-2043,Smart TV Sony OLED,2898.67,Produto original Sony.,https://fake-cdn.com/images/43.jpg,"[""Eletrônicos > TVs > OLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2044,Jaqueta Under Armour Masculino Inverno,73.74,Produto original Under Armour.,https://fake-cdn.com/images/44.jpg,"[""Roupas > Masculino > Jaquetas"", ""Under Armour > Jaquetas > Inverno"", ""Coleção 2026""]",Under Armour,Vermelho,G,
SKU-2045,Smart TV Apple OLED,3416.04,Produto original Apple.,https://fake-cdn.com/images/45.jpg,"[""Eletrônicos > TVs > OLED"", ""Apple > Telas > Cinema em Casa""]",Apple,,,
SKU-2046,Jaqueta Adidas Feminino Verão,299.45,Produto original Adidas.,https://fake-cdn.com/images/46.jpg,"[""Roupas > Feminino > Jaquetas"", ""Adidas > Jaquetas > Verão"", ""Coleção 2026""]",Adidas,Preto,GG,
SKU-2047,Smart TV Apple 4K,2907.04,Produto original Apple.,https://fake-cdn.com/images/47.jpg,"[""Eletrônicos > TVs > 4K"", ""Apple > Telas > Cinema em Casa""]",Apple,,,
SKU-2048,Regata Nike Feminino Verão,72.35,Produto original Nike.,https://fake-cdn.com/images/48.jpg,"[""Roupas > Feminino > Regatas"", ""Nike > Regatas > Verão"", ""Coleção 2026""]",Nike,Preto,P,
SKU-2049,Smart TV LG QLED,4407.95,Produto original LG.,https://fake-cdn.com/images/49.jpg,"[""Eletrônicos > TVs > QLED"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2050,Regata Nike Feminino Outlet,297.56,Produto original Nike.,https://fake-cdn.com/images/50.jpg,"[""Roupas > Feminino > Regatas"", ""Nike > Regatas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Nike,Preto,M,
SKU-2051,Smart TV LG OLED,4393.45,Produto original LG.,https://fake-cdn.com/images/51.jpg,"[""Eletrônicos > TVs > OLED"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2052,Camiseta Nike Feminino Inverno,173.8,Produto original Nike.,https://fake-cdn.com/images/52.jpg,"[""Roupas > Feminino > Camisetas"", ""Nike > Camisetas > Inverno"", ""Coleção 2026""]",Nike,Preto,GG,
SKU-2053,Smart TV Samsung 4K,4047.62,Produto original Samsung.,https://fake-cdn.com/images/53.jpg,"[""Eletrônicos > TVs > 4K"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2054,Camiseta Nike Feminino Outlet,299.59,Produto original Nike.,https://fake-cdn.com/images/54.jpg,"[""Roupas > Feminino > Camisetas"", ""Nike > Camisetas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Nike,Vermelho,GG,
SKU-2055,Smart TV Samsung OLED,2743.26,Produto original Samsung.,https://fake-cdn.com/images/55.jpg,"[""Eletrônicos > TVs > OLED"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2056,Regata Nike Masculino Outlet,174.99,Produto original Nike.,https://fake-cdn.com/images/56.jpg,"[""Roupas > Masculino > Regatas"", ""Nike > Regatas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Nike,Azul,P,
SKU-2057,Smart TV Sony QLED,4353.75,Produto original Sony.,https://fake-cdn.com/images/57.jpg,"[""Eletrônicos > TVs > QLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2058,Regata Puma Masculino Verão,130.75,Produto original Puma.,https://fake-cdn.com/images/58.jpg,"[""Roupas > Masculino > Regatas"", ""Puma > Regatas > Verão"", ""Coleção 2026""]",Puma,Azul,P,
SKU-2059,Smart TV LG OLED,4872.89,Produto original LG.,https://fake-cdn.com/images/59.jpg,"[""Eletrônicos > TVs > OLED"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2060,Jaqueta Nike Masculino Inverno,88.01,Produto original Nike.,https://fake-cdn.com/images/60.jpg,"[""Roupas > Masculino > Jaquetas"", ""Nike > Jaquetas > Inverno"", ""Coleção 2026""]",Nike,Vermelho,GG,
SKU-2061,Smart TV Samsung OLED,3353.73,Produto original Samsung.,https://fake-cdn.com/images/61.jpg,"[""Eletrônicos > TVs > OLED"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2062,Regata Under Armour Feminino Verão,193.62,Produto original Under Armour.,https://fake-cdn.com/images/62.jpg,"[""Roupas > Feminino > Regatas"", ""Under Armour > Regatas > Verão"", ""Coleção 2026""]",Under Armour,Azul,M,
SKU-2063,Smart TV Samsung 4K,2858.52,Produto original Samsung.,https://fake-cdn.com/images/63.jpg,"[""Eletrônicos > TVs > 4K"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2064,Regata Nike Masculino Verão,159.01,Produto original Nike.,https://fake-cdn.com/images/64.jpg,"[""Roupas > Masculino > Regatas"", ""Nike > Regatas > Verão"", ""Coleção 2026""]",Nike,Azul,M,
SKU-2065,Smart TV Sony 4K,3881.39,Produto original Sony.,https://fake-cdn.com/images/65.jpg,"[""Eletrônicos > TVs > 4K"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2066,Regata Under Armour Masculino Inverno,93.84,Produto original Under Armour.,https://fake-cdn.com/images/66.jpg,"[""Roupas > Masculino > Regatas"", ""Under Armour > Regatas > Inverno"", ""Coleção 2026""]",Under Armour,Vermelho,M,
SKU-2067,Smart TV Apple 4K,3348.94,Produto original Apple.,https://fake-cdn.com/images/67.jpg,"[""Eletrônicos > TVs > 4K"", ""Apple > Telas > Cinema em Casa""]",Apple,,,
SKU-2068,Regata Adidas Masculino Verão,220.3,Produto original Adidas.,https://fake-cdn.com/images/68.jpg,"[""Roupas > Masculino > Regatas"", ""Adidas > Regatas > Verão"", ""Coleção 2026""]",Adidas,Preto,G,
SKU-2069,Smart TV Sony OLED,2040.58,Produto original Sony.,https://fake-cdn.com/images/69.jpg,"[""Eletrônicos > TVs > OLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2070,Jaqueta Puma Feminino Verão,80.75,Produto original Puma.,https://fake-cdn.com/images/70.jpg,"[""Roupas > Feminino > Jaquetas"", ""Puma > Jaquetas > Verão"", ""Coleção 2026""]",Puma,Azul,M,
SKU-2071,Smart TV Samsung 4K,4959.78,Produto original Samsung.,https://fake-cdn.com/images/71.jpg,"[""Eletrônicos > TVs > 4K"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2072,Jaqueta Under Armour Feminino Verão,105.31,Produto original Under Armour.,https://fake-cdn.com/images/72.jpg,"[""Roupas > Feminino > Jaquetas"", ""Under Armour > Jaquetas > Verão"", ""Coleção 2026""]",Under Armour,Azul,GG,
SKU-2073,Smart TV Samsung QLED,2683.11,Produto original Samsung.,https://fake-cdn.com/images/73.jpg,"[""Eletrônicos > TVs > QLED"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2074,Regata Nike Masculino Outlet,158.12,Produto original Nike.,https://fake-cdn.com/images/74.jpg,"[""Roupas > Masculino > Regatas"", ""Nike > Regatas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Nike,Branco,G,
SKU-2075,Smart TV Sony OLED,2083.26,Produto original Sony.,https://fake-cdn.com/images/75.jpg,"[""Eletrônicos > TVs > OLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2076,Camiseta Puma Feminino Verão,123.4,Produto original Puma.,https://fake-cdn.com/images/76.jpg,"[""Roupas > Feminino > Camisetas"", ""Puma > Camisetas > Verão"", ""Coleção 2026""]",Puma,Vermelho,M,
SKU-2077,Smart TV Samsung QLED,4633.06,Produto original Samsung.,https://fake-cdn.com/images/77.jpg,"[""Eletrônicos > TVs > QLED"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2078,Jaqueta Nike Masculino Outlet,218.83,Produto original Nike.,https://fake-cdn.com/images/78.jpg,"[""Roupas > Masculino > Jaquetas"", ""Nike > Jaquetas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Nike,Branco,P,
SKU-2079,Smart TV Samsung OLED,2221.59,Produto original Samsung.,https://fake-cdn.com/images/79.jpg,"[""Eletrônicos > TVs > OLED"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2080,Jaqueta Puma Masculino Inverno,150.77,Produto original Puma.,https://fake-cdn.com/images/80.jpg,"[""Roupas > Masculino > Jaquetas"", ""Puma > Jaquetas > Inverno"", ""Coleção 2026""]",Puma,Vermelho,M,
SKU-2081,Smart TV Apple OLED,4589.46,Produto original Apple.,https://fake-cdn.com/images/81.jpg,"[""Eletrônicos > TVs > OLED"", ""Apple > Telas > Cinema em Casa""]",Apple,,,
SKU-2082,Jaqueta Nike Masculino Inverno,62.35,Produto original Nike.,https://fake-cdn.com/images/82.jpg,"[""Roupas > Masculino > Jaquetas"", ""Nike > Jaquetas > Inverno"", ""Coleção 2026""]",Nike,Vermelho,G,
SKU-2083,Smart TV Samsung QLED,4964.01,Produto original Samsung.,https://fake-cdn.com/images/83.jpg,"[""Eletrônicos > TVs > QLED"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2084,Camiseta Puma Feminino Verão,176.26,Produto original Puma.,https://fake-cdn.com/images/84.jpg,"[""Roupas > Feminino > Camisetas"", ""Puma > Camisetas > Verão"", ""Coleção 2026""]",Puma,Vermelho,P,
SKU-2085,Smart TV LG 4K,2285.36,Produto original LG.,https://fake-cdn.com/images/85.jpg,"[""Eletrônicos > TVs > 4K"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2086,Jaqueta Puma Feminino Verão,109.66,Produto original Puma.,https://fake-cdn.com/images/86.jpg,"[""Roupas > Feminino > Jaquetas"", ""Puma > Jaquetas > Verão"", ""Coleção 2026""]",Puma,Azul,GG,
SKU-2087,Smart TV Apple OLED,2716.39,Produto original Apple.,https://fake-cdn.com/images/87.jpg,"[""Eletrônicos > TVs > OLED"", ""Apple > Telas > Cinema em Casa""]",Apple,,,
SKU-2088,Camiseta Puma Feminino Outlet,107.66,Produto original Puma.,https://fake-cdn.com/images/88.jpg,"[""Roupas > Feminino > Camisetas"", ""Puma > Camisetas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Puma,Azul,M,
SKU-2089,Smart TV Sony 4K,4661.69,Produto original Sony.,https://fake-cdn.com/images/89.jpg,"[""Eletrônicos > TVs > 4K"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2090,Regata Under Armour Feminino Outlet,146.6,Produto original Under Armour.,https://fake-cdn.com/images/90.jpg,"[""Roupas > Feminino > Regatas"", ""Under Armour > Regatas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Under Armour,Preto,GG,
SKU-2091,Smart TV Sony QLED,4647.11,Produto original Sony.,https://fake-cdn.com/images/91.jpg,"[""Eletrônicos > TVs > QLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2092,Camiseta Nike Feminino Verão,247.36,Produto original Nike.,https://fake-cdn.com/images/92.jpg,"[""Roupas > Feminino > Camisetas"", ""Nike > Camisetas > Verão"", ""Coleção 2026""]",Nike,Preto,M,
SKU-2093,Smart TV LG QLED,3379.26,Produto original LG.,https://fake-cdn.com/images/93.jpg,"[""Eletrônicos > TVs > QLED"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2094,Camiseta Under Armour Feminino Inverno,271.95,Produto original Under Armour.,https://fake-cdn.com/images/94.jpg,"[""Roupas > Feminino > Camisetas"", ""Under Armour > Camisetas > Inverno"", ""Coleção 2026""]",Under Armour,Vermelho,GG,
SKU-2095,Smart TV Apple 4K,4677.14,Produto original Apple.,https://fake-cdn.com/images/95.jpg,"[""Eletrônicos > TVs > 4K"", ""Apple > Telas > Cinema em Casa""]",Apple,,,
SKU-2096,Jaqueta Adidas Masculino Outlet,161.17,Produto original Adidas.,https://fake-cdn.com/images/96.jpg,"[""Roupas > Masculino > Jaquetas"", ""Adidas > Jaquetas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Adidas,Vermelho,G,
SKU-2097,Smart TV Apple OLED,2180.37,Produto original Apple.,https://fake-cdn.com/images/97.jpg,"[""Eletrônicos > TVs > OLED"", ""Apple > Telas > Cinema em Casa""]",Apple,,,
SKU-2098,Camiseta Adidas Masculino Verão,109.94,Produto original Adidas.,https://fake-cdn.com/images/98.jpg,"[""Roupas > Masculino > Camisetas"", ""Adidas > Camisetas > Verão"", ""Coleção 2026""]",Adidas,Azul,G,
SKU-2099,Smart TV Samsung 4K,3155.09,Produto original Samsung.,https://fake-cdn.com/images/99.jpg,"[""Eletrônicos > TVs > 4K"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2100,Camiseta Adidas Feminino Outlet,76.15,Produto original Adidas.,https://fake-cdn.com/images/100.jpg,"[""Roupas > Feminino > Camisetas"", ""Adidas > Camisetas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Adidas,Preto,M,
SKU-2101,Smart TV Samsung OLED,3968.91,Produto original Samsung.,https://fake-cdn.com/images/101.jpg,"[""Eletrônicos > TVs > OLED"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2102,Regata Under Armour Masculino Outlet,271.64,Produto original Under Armour.,https://fake-cdn.com/images/102.jpg,"[""Roupas > Masculino > Regatas"", ""Under Armour > Regatas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Under Armour,Azul,M,
SKU-2103,Smart TV Sony 4K,2628.59,Produto original Sony.,https://fake-cdn.com/images/103.jpg,"[""Eletrônicos > TVs > 4K"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2104,Camiseta Under Armour Feminino Verão,190.14,Produto original Under Armour.,https://fake-cdn.com/images/104.jpg,"[""Roupas > Feminino > Camisetas"", ""Under Armour > Camisetas > Verão"", ""Coleção 2026""]",Under Armour,Branco,G,
SKU-2105,Smart TV Sony OLED,4294.62,Produto original Sony.,https://fake-cdn.com/images/105.jpg,"[""Eletrônicos > TVs > OLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2106,Jaqueta Nike Masculino Verão,101.44,Produto original Nike.,https://fake-cdn.com/images/106.jpg,"[""Roupas > Masculino > Jaquetas"", ""Nike > Jaquetas > Verão"", ""Coleção 2026""]",Nike,Azul,G,
SKU-2107,Smart TV Sony QLED,4195.57,Produto original Sony.,https://fake-cdn.com/images/107.jpg,"[""Eletrônicos > TVs > QLED"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2108,Regata Nike Masculino Verão,65.5,Produto original Nike.,https://fake-cdn.com/images/108.jpg,"[""Roupas > Masculino > Regatas"", ""Nike > Regatas > Verão"", ""Coleção 2026""]",Nike,Preto,M,
SKU-2109,Smart TV Samsung 4K,4830.4,Produto original Samsung.,https://fake-cdn.com/images/109.jpg,"[""Eletrônicos > TVs > 4K"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2110,Camiseta Adidas Masculino Verão,292.01,Produto original Adidas.,https://fake-cdn.com/images/110.jpg,"[""Roupas > Masculino > Camisetas"", ""Adidas > Camisetas > Verão"", ""Coleção 2026""]",Adidas,Azul,M,
SKU-2111,Smart TV Samsung QLED,3453.04,Produto original Samsung.,https://fake-cdn.com/images/111.jpg,"[""Eletrônicos > TVs > QLED"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2112,Jaqueta Under Armour Masculino Outlet,204.66,Produto original Under Armour.,https://fake-cdn.com/images/112.jpg,"[""Roupas > Masculino > Jaquetas"", ""Under Armour > Jaquetas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Under Armour,Preto,P,
SKU-2113,Smart TV Samsung 4K,4307.38,Produto original Samsung.,https://fake-cdn.com/images/113.jpg,"[""Eletrônicos > TVs > 4K"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
SKU-2114,Regata Nike Masculino Inverno,221.03,Produto original Nike.,https://fake-cdn.com/images/114.jpg,"[""Roupas > Masculino > Regatas"", ""Nike > Regatas > Inverno"", ""Coleção 2026""]",Nike,Vermelho,G,
SKU-2115,Smart TV LG QLED,3392.41,Produto original LG.,https://fake-cdn.com/images/115.jpg,"[""Eletrônicos > TVs > QLED"", ""LG > Telas > Cinema em Casa""]",LG,,,
SKU-2116,Regata Adidas Feminino Verão,288.09,Produto original Adidas.,https://fake-cdn.com/images/116.jpg,"[""Roupas > Feminino > Regatas"", ""Adidas > Regatas > Verão"", ""Coleção 2026""]",Adidas,Azul,GG,
SKU-2117,Smart TV Sony 4K,4890.89,Produto original Sony.,https://fake-cdn.com/images/117.jpg,"[""Eletrônicos > TVs > 4K"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2118,Regata Nike Feminino Verão,66.96,Produto original Nike.,https://fake-cdn.com/images/118.jpg,"[""Roupas > Feminino > Regatas"", ""Nike > Regatas > Verão"", ""Coleção 2026""]",Nike,Branco,M,
SKU-2119,Smart TV Apple OLED,3418.12,Produto original Apple.,https://fake-cdn.com/images/119.jpg,"[""Eletrônicos > TVs > OLED"", ""Apple > Telas > Cinema em Casa""]",Apple,,,
SKU-2120,Camiseta Adidas Masculino Outlet,114.39,Produto original Adidas.,https://fake-cdn.com/images/120.jpg,"[""Roupas > Masculino > Camisetas"", ""Adidas > Camisetas > Outlet"", ""Coleção 2026"", ""Ofertas > Últimas Peças""]",Adidas,Vermelho,GG,
SKU-2121,Smart TV Sony 4K,3537.08,Produto original Sony.,https://fake-cdn.com/images/121.jpg,"[""Eletrônicos > TVs > 4K"", ""Sony > Telas > Cinema em Casa""]",Sony,,,
SKU-2122,Jaqueta Adidas Feminino Inverno,216.4,Produto original Adidas.,https://fake-cdn.com/images/122.jpg,"[""Roupas > Feminino > Jaquetas"", ""Adidas > Jaquetas > Inverno"", ""Coleção 2026""]",Adidas,Branco,G,
SKU-2123,Smart TV Samsung QLED,2616.22,Produto original Samsung.,https://fake-cdn.com/images/123.jpg,"[""Eletrônicos > TVs > QLED"", ""Samsung > Telas > Cinema em Casa""]",Samsung,,,
