product_external_id,channel_id,store_id,price
SKU-2005,CH-FISICO,LOJA-04,11.27
SKU-2005,CH-FISICO,LOJA-05,10.83
SKU-2005,CH-TELEVENDAS,LOJA-TELEVENDAS,10.72
SKU-2006,CH-WEB,LOJA-WEB,9112.79
SKU-2006,CH-APP,LOJA-01,8839.41
SKU-2006,CH-APP,LOJA-02,8927.8
SKU-2006,CH-APP,LOJA-03,8751.01
SKU-2006,CH-FISICO,LOJA-01,9295.05
SKU-2006,CH-FISICO,LOJA-02,9388.0
SKU-2006,CH-FISICO,LOJA-03,9202.1
SKU-2006,CH-FISICO,LOJA-04,9480.95
SKU-2006,CH-FISICO,LOJA-05,9109.14
SKU-2006,CH-TELEVENDAS,LOJA-TELEVENDAS,9021.66
SKU-2007,CH-WEB,LOJA-WEB,6865.27
SKU-2007,CH-APP,LOJA-01,6659.31
SKU-2007,CH-APP,LOJA-02,6725.91
SKU-2007,CH-APP,LOJA-03,6592.72
SKU-2007,CH-FISICO,LOJA-01,7002.58
SKU-2007,CH-FISICO,LOJA-02,7072.6
SKU-2007,CH-FISICO,LOJA-03,6932.55
SKU-2007,CH-FISICO,LOJA-04,7142.63
SKU-2007,CH-FISICO,LOJA-05,6862.52
SKU-2007,CH-TELEVENDAS,LOJA-TELEVENDAS,6796.62
SKU-2008,CH-WEB,LOJA-WEB,1246.57
SKU-2008,CH-APP,LOJA-01,1209.17
SKU-2008,CH-APP,LOJA-02,1221.26
SKU-2008,CH-APP,LOJA-03,1197.08
SKU-2008,CH-FISICO,LOJA-01,1271.5
SKU-2008,CH-FISICO,LOJA-02,1284.22
SKU-2008,CH-FISICO,LOJA-03,1258.79
SKU-2008,CH-FISICO,LOJA-04,1296.93
SKU-2008,CH-FISICO,LOJA-05,1246.07
SKU-2008,CH-TELEVENDAS,LOJA-TELEVENDAS,1234.1
SKU-2009,CH-WEB,LOJA-WEB,344.68
SKU-2009,CH-APP,LOJA-01,334.34
SKU-2009,CH-APP,LOJA-02,337.68
SKU-2009,CH-APP,LOJA-03,331.0
SKU-2009,CH-FISICO,LOJA-01,351.57
SKU-2009,CH-FISICO,LOJA-02,355.09
SKU-2009,CH-FISICO,LOJA-03,348.06
SKU-2009,CH-FISICO,LOJA-04,358.61
SKU-2009,CH-FISICO,LOJA-05,344.54
SKU-2009,CH-TELEVENDAS,LOJA-TELEVENDAS,341.23
SKU-2010,CH-WEB,LOJA-WEB,323.85
SKU-2010,CH-APP,LOJA-01,314.13
SKU-2010,CH-APP,LOJA-02,317.28
SKU-2010,CH-APP,LOJA-03,310.99
SKU-2010,CH-FISICO,LOJA-01,330.33
SKU-2010,CH-FISICO,LOJA-02,333.63
SKU-2010,CH-FISICO,LOJA-03,327.02
SKU-2010,CH-FISICO,LOJA-04,336.93
SKU-2010,CH-FISICO,LOJA-05,323.72
SKU-2010,CH-TELEVENDAS,LOJA-TELEVENDAS,320.61
SKU-2011,CH-WEB,LOJA-WEB,85.77
SKU-2011,CH-APP,LOJA-01,83.2
SKU-2011,CH-APP,LOJA-02,84.03
SKU-2011,CH-APP,LOJA-03,82.36
SKU-2011,CH-FISICO,LOJA-01,87.49
SKU-2011,CH-FISICO,LOJA-02,88.36
SKU-2011,CH-FISICO,LOJA-03,86.61
SKU-2011,CH-FISICO,LOJA-04,89.24
SKU-2011,CH-FISICO,LOJA-05,85.74
SKU-2011,CH-TELEVENDAS,LOJA-TELEVENDAS,84.91
SKU-2012,CH-WEB,LOJA-WEB,396.36
SKU-2012,CH-APP,LOJA-01,384.47
SKU-2012,CH-APP,LOJA-02,388.31
SKU-2012,CH-APP,LOJA-03,380.62
SKU-2012,CH-FISICO,LOJA-01,404.29
SKU-2012,CH-FISICO,LOJA-02,408.33
SKU-2012,CH-FISICO,LOJA-03,400.24
SKU-2012,CH-FISICO,LOJA-04,412.37
SKU-2012,CH-FISICO,LOJA-05,396.2
SKU-2012,CH-TELEVENDAS,LOJA-TELEVENDAS,392.4
SKU-2013,CH-WEB,LOJA-WEB,73.39
SKU-2013,CH-APP,LOJA-01,71.19
SKU-2013,CH-APP,LOJA-02,71.9
SKU-2013,CH-APP,LOJA-03,70.48
SKU-2013,CH-FISICO,LOJA-01,74.86
SKU-2013,CH-FISICO,LOJA-02,75.61
SKU-2013,CH-FISICO,LOJA-03,74.11
SKU-2013,CH-FISICO,LOJA-04,76.35
SKU-2013,CH-FISICO,LOJA-05,73.36
SKU-2013,CH-TELEVENDAS,LOJA-TELEVENDAS,72.66
SKU-2014,CH-WEB,LOJA-WEB,21.08
SKU-2014,CH-APP,LOJA-01,20.45
SKU-2014,CH-APP,LOJA-02,20.65
SKU-2014,CH-APP,LOJA-03,20.24
SKU-2014,CH-FISICO,LOJA-01,21.5
SKU-2014,CH-FISICO,LOJA-02,21.72
SKU-2014,CH-FISICO,LOJA-03,21.29
SKU-2014,CH-FISICO,LOJA-04,21.93
SKU-2014,CH-FISICO,LOJA-05,21.07
SKU-2014,CH-TELEVENDAS,LOJA-TELEVENDAS,20.87
SKU-2015,CH-WEB,LOJA-WEB,27.13
SKU-2015,CH-APP,LOJA-01,26.32
SKU-2015,CH-APP,LOJA-02,26.58
SKU-2015,CH-APP,LOJA-03,26.05
SKU-2015,CH-FISICO,LOJA-01,27.67
SKU-2015,CH-FISICO,LOJA-02,27.95
SKU-2015,CH-FISICO,LOJA-03,27.4
SKU-2015,CH-FISICO,LOJA-04,28.23
SKU-2015,CH-FISICO,LOJA-05,27.12
SKU-2015,CH-TELEVENDAS,LOJA-TELEVENDAS,26.86
SKU-2016,CH-WEB,LOJA-WEB,7440.05
SKU-2016,CH-APP,LOJA-01,7216.85
SKU-2016,CH-APP,LOJA-02,7289.02
SKU-2016,CH-APP,LOJA-03,7144.68
SKU-2016,CH-FISICO,LOJA-01,7588.85
SKU-2016,CH-FISICO,LOJA-02,7664.74
SKU-2016,CH-FISICO,LOJA-03,7512.96
SKU-2016,CH-FISICO,LOJA-04,7740.63
SKU-2016,CH-FISICO,LOJA-05,7437.07
SKU-2016,CH-TELEVENDAS,LOJA-TELEVENDAS,7365.65
SKU-2017,CH-WEB,LOJA-WEB,2739.56
SKU-2017,CH-APP,LOJA-01,2657.37
SKU-2017,CH-APP,LOJA-02,2683.95
SKU-2017,CH-APP,LOJA-03,2630.8
SKU-2017,CH-FISICO,LOJA-01,2794.35
SKU-2017,CH-FISICO,LOJA-02,2822.29
SKU-2017,CH-FISICO,LOJA-03,2766.41
SKU-2017,CH-FISICO,LOJA-04,2850.24
SKU-2017,CH-FISICO,LOJA-05,2738.46
SKU-2017,CH-TELEVENDAS,LOJA-TELEVENDAS,2712.16
SKU-2018,CH-WEB,LOJA-WEB,110.08
SKU-2018,CH-APP,LOJA-01,106.78
SKU-2018,CH-APP,LOJA-02,107.85
SKU-2018,CH-APP,LOJA-03,105.71
SKU-2018,CH-FISICO,LOJA-01,112.28
SKU-2018,CH-FISICO,LOJA-02,113.4
SKU-2018,CH-FISICO,LOJA-03,111.16
SKU-2018,CH-FISICO,LOJA-04,114.53
SKU-2018,CH-FISICO,LOJA-05,110.04
SKU-2018,CH-TELEVENDAS,LOJA-TELEVENDAS,108.98
SKU-2019,CH-WEB,LOJA-WEB,692.16
SKU-2019,CH-APP,LOJA-01,671.4
SKU-2019,CH-APP,LOJA-02,678.11
SKU-2019,CH-APP,LOJA-03,664.68
SKU-2019,CH-FISICO,LOJA-01,706.0
SKU-2019,CH-FISICO,LOJA-02,713.06
SKU-2019,CH-FISICO,LOJA-03,698.94
SKU-2019,CH-FISICO,LOJA-04,720.12
SKU-2019,CH-FISICO,LOJA-05,691.88
SKU-2019,CH-TELEVENDAS,LOJA-TELEVENDAS,685.24
SKU-2020,CH-WEB,LOJA-WEB,428.37
SKU-2020,CH-APP,LOJA-01,415.52
SKU-2020,CH-APP,LOJA-02,419.67
SKU-2020,CH-APP,LOJA-03,411.36
SKU-2020,CH-FISICO,LOJA-01,436.94
SKU-2020,CH-FISICO,LOJA-02,441.31
SKU-2020,CH-FISICO,LOJA-03,432.57
SKU-2020,CH-FISICO,LOJA-04,445.68
SKU-2020,CH-FISICO,LOJA-05,428.2
SKU-2020,CH-TELEVENDAS,LOJA-TELEVENDAS,424.09
SKU-2021,CH-WEB,LOJA-WEB,643.78
SKU-2021,CH-APP,LOJA-01,624.47
SKU-2021,CH-APP,LOJA-02,630.71
SKU-2021,CH-APP,LOJA-03,618.22
SKU-2021,CH-FISICO,LOJA-01,656.66
SKU-2021,CH-FISICO,LOJA-02,663.22
SKU-2021,CH-FISICO,LOJA-03,650.09
SKU-2021,CH-FISICO,LOJA-04,669.79
SKU-2021,CH-FISICO,LOJA-05,643.52
SKU-2021,CH-TELEVENDAS,LOJA-TELEVENDAS,637.34
SKU-2022,CH-WEB,LOJA-WEB,349.56
SKU-2022,CH-APP,LOJA-01,339.07
SKU-2022,CH-APP,LOJA-02,342.46
SKU-2022,CH-APP,LOJA-03,335.68
SKU-2022,CH-FISICO,LOJA-01,356.55
SKU-2022,CH-FISICO,LOJA-02,360.12
SKU-2022,CH-FISICO,LOJA-03,352.99
SKU-2022,CH-FISICO,LOJA-04,363.68
SKU-2022,CH-FISICO,LOJA-05,349.42
SKU-2022,CH-TELEVENDAS,LOJA-TELEVENDAS,346.06
SKU-2023,CH-WEB,LOJA-WEB,164.29
SKU-2023,CH-APP,LOJA-01,159.36
SKU-2023,CH-APP,LOJA-02,160.95
SKU-2023,CH-APP,LOJA-03,157.77
SKU-2023,CH-FISICO,LOJA-01,167.58
SKU-2023,CH-FISICO,LOJA-02,169.25
SKU-2023,CH-FISICO,LOJA-03,165.9
SKU-2023,CH-FISICO,LOJA-04,170.93
SKU-2023,CH-FISICO,LOJA-05,164.22
SKU-2023,CH-TELEVENDAS,LOJA-TELEVENDAS,162.65
SKU-2024,CH-WEB,LOJA-WEB,43.71
SKU-2024,CH-APP,LOJA-01,42.4
SKU-2024,CH-APP,LOJA-02,42.82
SKU-2024,CH-APP,LOJA-03,41.97
SKU-2024,CH-FISICO,LOJA-01,44.58
SKU-2024,CH-FISICO,LOJA-02,45.03
SKU-2024,CH-FISICO,LOJA-03,44.14
SKU-2024,CH-FISICO,LOJA-04,45.48
SKU-2024,CH-FISICO,LOJA-05,43.69
SKU-2024,CH-TELEVENDAS,LOJA-TELEVENDAS,43.27
SKU-2025,CH-WEB,LOJA-WEB,36.41
SKU-2025,CH-APP,LOJA-01,35.32
SKU-2025,CH-APP,LOJA-02,35.67
SKU-2025,CH-APP,LOJA-03,34.96
SKU-2025,CH-FISICO,LOJA-01,37.14
SKU-2025,CH-FISICO,LOJA-02,37.51
SKU-2025,CH-FISICO,LOJA-03,36.77
SKU-2025,CH-FISICO,LOJA-04,37.88
SKU-2025,CH-FISICO,LOJA-05,36.4
SKU-2025,CH-TELEVENDAS,LOJA-TELEVENDAS,36.05
SKU-2026,CH-WEB,LOJA-WEB,4008.31
SKU-2026,CH-APP,LOJA-01,3888.06
SKU-2026,CH-APP,LOJA-02,3926.94
SKU-2026,CH-APP,LOJA-03,3849.18
SKU-2026,CH-FISICO,LOJA-01,4088.48
SKU-2026,CH-FISICO,LOJA-02,4129.36
SKU-2026,CH-FISICO,LOJA-03,4047.59
SKU-2026,CH-FISICO,LOJA-04,4170.25
SKU-2026,CH-FISICO,LOJA-05,4006.71
SKU-2026,CH-TELEVENDAS,LOJA-TELEVENDAS,3968.23
SKU-2027,CH-WEB,LOJA-WEB,1057.06
SKU-2027,CH-APP,LOJA-01,1025.35
SKU-2027,CH-APP,LOJA-02,1035.6
SKU-2027,CH-APP,LOJA-03,1015.09
SKU-2027,CH-FISICO,LOJA-01,1078.2
SKU-2027,CH-FISICO,LOJA-02,1088.98
SKU-2027,CH-FISICO,LOJA-03,1067.42
SKU-2027,CH-FISICO,LOJA-04,1099.77
SKU-2027,CH-FISICO,LOJA-05,1056.64
SKU-2027,CH-TELEVENDAS,LOJA-TELEVENDAS,1046.49
SKU-2028,CH-WEB,LOJA-WEB,886.48
SKU-2028,CH-APP,LOJA-01,859.89
SKU-2028,CH-APP,LOJA-02,868.48
SKU-2028,CH-APP,LOJA-03,851.29
SKU-2028,CH-FISICO,LOJA-01,904.21
SKU-2028,CH-FISICO,LOJA-02,913.25
SKU-2028,CH-FISICO,LOJA-03,895.17
SKU-2028,CH-FISICO,LOJA-04,922.29
SKU-2028,CH-FISICO,LOJA-05,886.13
SKU-2028,CH-TELEVENDAS,LOJA-TELEVENDAS,877.62
SKU-2029,CH-WEB,LOJA-WEB,307.75
SKU-2029,CH-APP,LOJA-01,298.52
SKU-2029,CH-APP,LOJA-02,301.5
SKU-2029,CH-APP,LOJA-03,295.53
SKU-2029,CH-FISICO,LOJA-01,313.91
SKU-2029,CH-FISICO,LOJA-02,317.04
SKU-2029,CH-FISICO,LOJA-03,310.77
SKU-2029,CH-FISICO,LOJA-04,320.18
SKU-2029,CH-FISICO,LOJA-05,307.63
SKU-2029,CH-TELEVENDAS,LOJA-TELEVENDAS,304.67
SKU-2030,CH-WEB,LOJA-WEB,200.07
SKU-2030,CH-APP,LOJA-01,194.07
SKU-2030,CH-APP,LOJA-02,196.01
SKU-2030,CH-APP,LOJA-03,192.13
SKU-2030,CH-FISICO,LOJA-01,204.07
SKU-2030,CH-FISICO,LOJA-02,206.11
SKU-2030,CH-FISICO,LOJA-03,202.03
SKU-2030,CH-FISICO,LOJA-04,208.15
SKU-2030,CH-FISICO,LOJA-05,199.99
SKU-2030,CH-TELEVENDAS,LOJA-TELEVENDAS,198.07
SKU-2031,CH-WEB,LOJA-WEB,502.58
SKU-2031,CH-APP,LOJA-01,487.5
SKU-2031,CH-APP,LOJA-02,492.38
SKU-2031,CH-APP,LOJA-03,482.63
SKU-2031,CH-FISICO,LOJA-01,512.63
SKU-2031,CH-FISICO,LOJA-02,517.76
SKU-2031,CH-FISICO,LOJA-03,507.51
SKU-2031,CH-FISICO,LOJA-04,522.88
SKU-2031,CH-FISICO,LOJA-05,502.38
SKU-2031,CH-TELEVENDAS,LOJA-TELEVENDAS,497.55
SKU-2032,CH-WEB,LOJA-WEB,554.28
SKU-2032,CH-APP,LOJA-01,537.65
SKU-2032,CH-APP,LOJA-02,543.03
SKU-2032,CH-APP,LOJA-03,532.28
SKU-2032,CH-FISICO,LOJA-01,565.37
SKU-2032,CH-FISICO,LOJA-02,571.02
SKU-2032,CH-FISICO,LOJA-03,559.71
SKU-2032,CH-FISICO,LOJA-04,576.67
SKU-2032,CH-FISICO,LOJA-05,554.06
SKU-2032,CH-TELEVENDAS,LOJA-TELEVENDAS,548.74
SKU-2033,CH-WEB,LOJA-WEB,184.63
SKU-2033,CH-APP,LOJA-01,179.09
SKU-2033,CH-APP,LOJA-02,180.88
SKU-2033,CH-APP,LOJA-03,177.3
SKU-2033,CH-FISICO,LOJA-01,188.32
SKU-2033,CH-FISICO,LOJA-02,190.21
SKU-2033,CH-FISICO,LOJA-03,186.44
SKU-2033,CH-FISICO,LOJA-04,192.09
SKU-2033,CH-FISICO,LOJA-05,184.56
SKU-2033,CH-TELEVENDAS,LOJA-TELEVENDAS,182.78
SKU-2034,CH-WEB,LOJA-WEB,15.73
SKU-2034,CH-APP,LOJA-01,15.26
SKU-2034,CH-APP,LOJA-02,15.41
SKU-2034,CH-APP,LOJA-03,15.11
SKU-2034,CH-FISICO,LOJA-01,16.04
SKU-2034,CH-FISICO,LOJA-02,16.21
SKU-2034,CH-FISICO,LOJA-03,15.88
SKU-2034,CH-FISICO,LOJA-04,16.37
SKU-2034,CH-FISICO,LOJA-05,15.72
SKU-2034,CH-TELEVENDAS,LOJA-TELEVENDAS,15.57
SKU-2035,CH-WEB,LOJA-WEB,8.85
SKU-2035,CH-APP,LOJA-01,8.58
SKU-2035,CH-APP,LOJA-02,8.67
SKU-2035,CH-APP,LOJA-03,8.5
SKU-2035,CH-FISICO,LOJA-01,9.03
SKU-2035,CH-FISICO,LOJA-02,9.12
SKU-2035,CH-FISICO,LOJA-03,8.94
SKU-2035,CH-FISICO,LOJA-04,9.21
SKU-2035,CH-FISICO,LOJA-05,8.85
SKU-2035,CH-TELEVENDAS,LOJA-TELEVENDAS,8.76
SKU-2036,CH-WEB,LOJA-WEB,4552.54
SKU-2036,CH-APP,LOJA-01,4415.96
SKU-2036,CH-APP,LOJA-02,4460.12
SKU-2036,CH-APP,LOJA-03,4371.8
SKU-2036,CH-FISICO,LOJA-01,4643.59
SKU-2036,CH-FISICO,LOJA-02,4690.03
SKU-2036,CH-FISICO,LOJA-03,4597.15
SKU-2036,CH-FISICO,LOJA-04,4736.46
SKU-2036,CH-FISICO,LOJA-05,4550.72
SKU-2036,CH-TELEVENDAS,LOJA-TELEVENDAS,4507.01
SKU-2037,CH-WEB,LOJA-WEB,4558.22
SKU-2037,CH-APP,LOJA-01,4421.47
SKU-2037,CH-APP,LOJA-02,4465.69
SKU-2037,CH-APP,LOJA-03,4377.26
SKU-2037,CH-FISICO,LOJA-01,4649.38
SKU-2037,CH-FISICO,LOJA-02,4695.88
SKU-2037,CH-FISICO,LOJA-03,4602.89
SKU-2037,CH-FISICO,LOJA-04,4742.37
SKU-2037,CH-FISICO,LOJA-05,4556.4
SKU-2037,CH-TELEVENDAS,LOJA-TELEVENDAS,4512.64
SKU-2038,CH-WEB,LOJA-WEB,219.43
SKU-2038,CH-APP,LOJA-01,212.85
SKU-2038,CH-APP,LOJA-02,214.98
SKU-2038,CH-APP,LOJA-03,210.72
SKU-2038,CH-FISICO,LOJA-01,223.82
SKU-2038,CH-FISICO,LOJA-02,226.06
SKU-2038,CH-FISICO,LOJA-03,221.58
SKU-2038,CH-FISICO,LOJA-04,228.29
SKU-2038,CH-FISICO,LOJA-05,219.34
SKU-2038,CH-TELEVENDAS,LOJA-TELEVENDAS,217.24
SKU-2039,CH-WEB,LOJA-WEB,89.75
SKU-2039,CH-APP,LOJA-01,87.06
SKU-2039,CH-APP,LOJA-02,87.93
SKU-2039,CH-APP,LOJA-03,86.19
SKU-2039,CH-FISICO,LOJA-01,91.55
SKU-2039,CH-FISICO,LOJA-02,92.46
SKU-2039,CH-FISICO,LOJA-03,90.63
SKU-2039,CH-FISICO,LOJA-04,93.38
SKU-2039,CH-FISICO,LOJA-05,89.71
SKU-2039,CH-TELEVENDAS,LOJA-TELEVENDAS,88.85
SKU-2040,CH-WEB,LOJA-WEB,689.19
SKU-2040,CH-APP,LOJA-01,668.51
SKU-2040,CH-APP,LOJA-02,675.2
SKU-2040,CH-APP,LOJA-03,661.83
SKU-2040,CH-FISICO,LOJA-01,702.97
SKU-2040,CH-FISICO,LOJA-02,710.0
SKU-2040,CH-FISICO,LOJA-03,695.94
SKU-2040,CH-FISICO,LOJA-04,717.03
SKU-2040,CH-FISICO,LOJA-05,688.91
SKU-2040,CH-TELEVENDAS,LOJA-TELEVENDAS,682.3
SKU-2041,CH-WEB,LOJA-WEB,361.5
SKU-2041,CH-APP,LOJA-01,350.65
SKU-2041,CH-APP,LOJA-02,354.16
SKU-2041,CH-APP,LOJA-03,347.15
SKU-2041,CH-FISICO,LOJA-01,368.73
SKU-2041,CH-FISICO,LOJA-02,372.42
SKU-2041,CH-FISICO,LOJA-03,365.04
SKU-2041,CH-FISICO,LOJA-04,376.1
SKU-2041,CH-FISICO,LOJA-05,361.36
SKU-2041,CH-TELEVENDAS,LOJA-TELEVENDAS,357.88
SKU-2042,CH-WEB,LOJA-WEB,416.04
SKU-2042,CH-APP,LOJA-01,403.56
SKU-2042,CH-APP,LOJA-02,407.59
SKU-2042,CH-APP,LOJA-03,399.52
SKU-2042,CH-FISICO,LOJA-01,424.36
SKU-2042,CH-FISICO,LOJA-02,428.6
SKU-2042,CH-FISICO,LOJA-03,420.12
SKU-2042,CH-FISICO,LOJA-04,432.85
SKU-2042,CH-FISICO,LOJA-05,415.87
SKU-2042,CH-TELEVENDAS,LOJA-TELEVENDAS,411.88
SKU-2043,CH-WEB,LOJA-WEB,106.68
SKU-2043,CH-APP,LOJA-01,103.48
SKU-2043,CH-APP,LOJA-02,104.51
SKU-2043,CH-APP,LOJA-03,102.44
SKU-2043,CH-FISICO,LOJA-01,108.81
SKU-2043,CH-FISICO,LOJA-02,109.9
SKU-2043,CH-FISICO,LOJA-03,107.73
SKU-2043,CH-FISICO,LOJA-04,110.99
SKU-2043,CH-FISICO,LOJA-05,106.64
SKU-2043,CH-TELEVENDAS,LOJA-TELEVENDAS,105.61
SKU-2044,CH-WEB,LOJA-WEB,36.16
SKU-2044,CH-APP,LOJA-01,35.08
SKU-2044,CH-APP,LOJA-02,35.43
SKU-2044,CH-APP,LOJA-03,34.72
SKU-2044,CH-FISICO,LOJA-01,36.88
SKU-2044,CH-FISICO,LOJA-02,37.25
SKU-2044,CH-FISICO,LOJA-03,36.51
SKU-2044,CH-FISICO,LOJA-04,37.62
SKU-2044,CH-FISICO,LOJA-05,36.15
SKU-2044,CH-TELEVENDAS,LOJA-TELEVENDAS,35.8
SKU-2045,CH-WEB,LOJA-WEB,14.89
SKU-2045,CH-APP,LOJA-01,14.44
SKU-2045,CH-APP,LOJA-02,14.59
SKU-2045,CH-APP,LOJA-03,14.3
SKU-2045,CH-FISICO,LOJA-01,15.19
SKU-2045,CH-FISICO,LOJA-02,15.34
SKU-2045,CH-FISICO,LOJA-03,15.04
SKU-2045,CH-FISICO,LOJA-04,15.49
SKU-2045,CH-FISICO,LOJA-05,14.88
SKU-2045,CH-TELEVENDAS,LOJA-TELEVENDAS,14.74
SKU-2046,CH-WEB,LOJA-WEB,4670.29
SKU-2046,CH-APP,LOJA-01,4530.18
SKU-2046,CH-APP,LOJA-02,4575.48
SKU-2046,CH-APP,LOJA-03,4484.88
SKU-2046,CH-FISICO,LOJA-01,4763.7
SKU-2046,CH-FISICO,LOJA-02,4811.33
SKU-2046,CH-FISICO,LOJA-03,4716.06
SKU-2046,CH-FISICO,LOJA-04,4858.97
SKU-2046,CH-FISICO,LOJA-05,4668.42
SKU-2046,CH-TELEVENDAS,LOJA-TELEVENDAS,4623.59
SKU-2047,CH-WEB,LOJA-WEB,3866.41
SKU-2047,CH-APP,LOJA-01,3750.42
SKU-2047,CH-APP,LOJA-02,3787.92
SKU-2047,CH-APP,LOJA-03,3712.91
SKU-2047,CH-FISICO,LOJA-01,3943.74
SKU-2047,CH-FISICO,LOJA-02,3983.18
SKU-2047,CH-FISICO,LOJA-03,3904.3
SKU-2047,CH-FISICO,LOJA-04,4022.61
SKU-2047,CH-FISICO,LOJA-05,3864.86
SKU-2047,CH-TELEVENDAS,LOJA-TELEVENDAS,3827.75
SKU-2048,CH-WEB,LOJA-WEB,1120.96
SKU-2048,CH-APP,LOJA-01,1087.33
SKU-2048,CH-APP,LOJA-02,1098.2
SKU-2048,CH-APP,LOJA-03,1076.46
SKU-2048,CH-FISICO,LOJA-01,1143.38
SKU-2048,CH-FISICO,LOJA-02,1154.81
SKU-2048,CH-FISICO,LOJA-03,1131.95
SKU-2048,CH-FISICO,LOJA-04,1166.25
SKU-2048,CH-FISICO,LOJA-05,1120.51
SKU-2048,CH-TELEVENDAS,LOJA-TELEVENDAS,1109.75
SKU-2049,CH-WEB,LOJA-WEB,41.92
SKU-2049,CH-APP,LOJA-01,40.66
SKU-2049,CH-APP,LOJA-02,41.07
SKU-2049,CH-APP,LOJA-03,40.26
SKU-2049,CH-FISICO,LOJA-01,42.76
SKU-2049,CH-FISICO,LOJA-02,43.19
SKU-2049,CH-FISICO,LOJA-03,42.33
SKU-2049,CH-FISICO,LOJA-04,43.61
SKU-2049,CH-FISICO,LOJA-05,41.9
SKU-2049,CH-TELEVENDAS,LOJA-TELEVENDAS,41.5
SKU-2050,CH-WEB,LOJA-WEB,227.21
SKU-2050,CH-APP,LOJA-01,220.39
SKU-2050,CH-APP,LOJA-02,222.6
SKU-2050,CH-APP,LOJA-03,218.19
SKU-2050,CH-FISICO,LOJA-01,231.75
SKU-2050,CH-FISICO,LOJA-02,234.07
SKU-2050,CH-FISICO,LOJA-03,229.44
SKU-2050,CH-FISICO,LOJA-04,236.39
SKU-2050,CH-FISICO,LOJA-05,227.12
SKU-2050,CH-TELEVENDAS,LOJA-TELEVENDAS,224.94
SKU-2051,CH-WEB,LOJA-WEB,645.13
SKU-2051,CH-APP,LOJA-01,625.78
SKU-2051,CH-APP,LOJA-02,632.03
SKU-2051,CH-APP,LOJA-03,619.52
SKU-2051,CH-FISICO,LOJA-01,658.03
SKU-2051,CH-FISICO,LOJA-02,664.61
SKU-2051,CH-FISICO,LOJA-03,651.45
SKU-2051,CH-FISICO,LOJA-04,671.19
SKU-2051,CH-FISICO,LOJA-05,644.87
SKU-2051,CH-TELEVENDAS,LOJA-TELEVENDAS,638.68
