customer_id,customer_add_id,name,document,customer_type,source_created_at
CLI-10016,CRM-2113,Lanchonete Ferreira Centro,47259562.630.813/0001-58,lanchonete,2023-01-13T00:00:00Z
CLI-10017,CRM-5955,Cafeteria Ferreira Matriz,87734036.717.250/0001-31,cafeteria,2021-05-12T00:00:00Z
CLI-10018,CRM-1965,Sorveteria Santos Norte,22408982.997.354/0001-83,sorveteria,2025-05-20T00:00:00Z
CLI-10019,CRM-2551,Cafeteria Silva Filial,12195109.270.158/0001-28,cafeteria,2022-03-31T00:00:00Z
CLI-10020,CRM-4136,Confeitaria Rodrigues Leste,17632778.492.443/0001-50,confeitaria,2023-11-07T00:00:00Z
CLI-10021,CRM-9464,Padaria Almeida Sul,31111476.644.571/0001-97,padaria,2024-01-10T00:00:00Z
CLI-10022,CRM-9879,Confeitaria Pereira Matriz,22809630.271.860/0001-15,confeitaria,2024-03-10T00:00:00Z
CLI-10023,CRM-6995,Lanchonete Rodrigues Leste,40768892.889.579/0001-12,lanchonete,2021-08-03T00:00:00Z
CLI-10024,CRM-4303,Lanchonete Oliveira Oeste,24098656.197.463/0001-81,lanchonete,2021-05-13T00:00:00Z
CLI-10025,CRM-4327,Pizzaria Ferreira Sul,59948607.890.337/0001-51,pizzaria,2025-02-26T00:00:00Z
CLI-10026,CRM-8267,Sorveteria Pereira Sul,54681043.412.232/0001-47,sorveteria,2023-06-04T00:00:00Z
CLI-10027,CRM-8692,Sorveteria Rodrigues Sul,94235225.298.598/0001-49,sorveteria,2021-03-30T00:00:00Z
CLI-10028,CRM-8558,Sorveteria Lima Sul,50095799.424.995/0001-77,sorveteria,2024-02-20T00:00:00Z
CLI-10029,CRM-9120,Cafeteria Lima Oeste,16044123.857.218/0001-39,cafeteria,2024-01-14T00:00:00Z
CLI-10030,CRM-7626,Cafeteria Lima Matriz,15492889.622.912/0001-90,cafeteria,2022-02-10T00:00:00Z
CLI-10031,CRM-8777,Cafeteria Costa Centro,70775870.916.140/0001-85,cafeteria,2022-01-02T00:00:00Z
CLI-10032,CRM-3449,Pizzaria Souza Matriz,51437344.560.183/0001-82,pizzaria,2024-08-05T00:00:00Z
CLI-10033,CRM-5356,Sorveteria Pereira Norte,25106520.937.209/0001-51,sorveteria,2025-07-05T00:00:00Z
CLI-10034,CRM-6635,Restaurante Oliveira Leste,11453925.692.483/0001-35,restaurante,2022-07-13T00:00:00Z
CLI-10035,CRM-5922,Bar Santos Centro,47057593.587.467/0001-74,bar,2024-11-24T00:00:00Z
CLI-10036,CRM-3693,Mercado Lima Leste,36142175.543.976/0001-87,mercado,2021-08-12T00:00:00Z
CLI-10037,CRM-3988,Restaurante Nascimento Norte,47950595.898.180/0001-45,restaurante,2024-05-28T00:00:00Z
CLI-10038,CRM-2838,Sorveteria Souza Centro,99337217.666.652/0001-97,sorveteria,2023-08-10T00:00:00Z
CLI-10039,CRM-2659,Pizzaria Ferreira Matriz,45938874.355.523/0001-75,pizzaria,2025-02-03T00:00:00Z
CLI-10040,CRM-7358,Restaurante Oliveira Centro,98779129.480.915/0001-92,restaurante,2023-10-31T00:00:00Z
CLI-10041,CRM-4669,Bar Souza Centro,71448560.434.601/0001-61,bar,2026-02-06T00:00:00Z
CLI-10042,CRM-1040,Padaria Rodrigues Norte,22975377.636.481/0001-94,padaria,2021-09-19T00:00:00Z
CLI-10043,CRM-7925,Restaurante Carvalho Filial,18066743.481.754/0001-22,restaurante,2021-06-13T00:00:00Z
CLI-10044,CRM-2282,Bar Souza Oeste,48002132.417.253/0001-34,bar,2023-04-23T00:00:00Z
CLI-10045,CRM-1007,Confeitaria Almeida Centro,30465785.602.482/0001-92,confeitaria,2024-09-28T00:00:00Z
CLI-10046,CRM-5551,Sorveteria Pereira Norte,99209837.483.644/0001-94,sorveteria,2022-08-03T00:00:00Z
CLI-10047,CRM-1947,Cafeteria Lima Centro,26177067.143.317/0001-17,cafeteria,2022-12-06T00:00:00Z
CLI-10048,CRM-9214,Restaurante Carvalho Leste,32599971.566.439/0001-12,restaurante,2025-09-05T00:00:00Z
CLI-10049,CRM-3249,Mercado Costa Oeste,37330827.231.895/0001-47,mercado,2022-08-26T00:00:00Z
CLI-10050,CRM-2630,Restaurante Lima Oeste,52173383.921.601/0001-88,restaurante,2021-09-04T00:00:00Z
CLI-10051,CRM-7942,Cafeteria Almeida Leste,16093988.127.148/0001-76,cafeteria,2023-11-21T00:00:00Z
CLI-10052,CRM-4036,Bar Lima Filial,31352297.707.319/0001-22,bar,2024-05-17T00:00:00Z
CLI-10053,CRM-3836,Cafeteria Almeida Norte,94352508.417.297/0001-98,cafeteria,2025-04-11T00:00:00Z
CLI-10054,CRM-3101,Sorveteria Nascimento Matriz,54583229.880.447/0001-97,sorveteria,2021-04-24T00:00:00Z
CLI-10055,CRM-5268,Restaurante Carvalho Matriz,52864574.726.188/0001-54,restaurante,2022-07-01T00:00:00Z
CLI-10056,CRM-1509,Bar Silva Filial,93818841.710.705/0001-59,bar,2025-06-11T00:00:00Z
CLI-10057,CRM-7505,Lanchonete Oliveira Leste,57701882.925.306/0001-39,lanchonete,2023-08-19T00:00:00Z
CLI-10058,CRM-7303,Bar Ferreira Filial,76764162.518.445/0001-71,bar,2025-03-17T00:00:00Z
CLI-10059,CRM-3867,Padaria Santos Oeste,72182074.794.179/0001-87,padaria,2022-09-11T00:00:00Z
CLI-10060,CRM-8276,Sorveteria Ferreira Centro,47766939.130.335/0001-23,sorveteria,2023-08-14T00:00:00Z
CLI-10061,CRM-4821,Restaurante Ferreira Leste,20875359.533.440/0001-41,restaurante,2022-12-07T00:00:00Z
CLI-10062,CRM-5237,Bar Nascimento Centro,99837607.155.701/0001-96,bar,2022-05-19T00:00:00Z
CLI-10063,CRM-3709,Bar Carvalho Oeste,53027520.690.639/0001-51,bar,2021-05-31T00:00:00Z
CLI-10064,CRM-4840,Sorveteria Almeida Matriz,70444828.704.275/0001-77,sorveteria,2022-01-06T00:00:00Z
CLI-10065,CRM-3187,Bar Rodrigues Oeste,94157015.768.158/0001-51,bar,2024-01-08T00:00:00Z
CLI-10066,CRM-5288,Cafeteria Ferreira Norte,22746024.581.333/0001-98,cafeteria,2025-03-26T00:00:00Z
CLI-10067,CRM-7512,Cafeteria Nascimento Oeste,50187660.203.163/0001-95,cafeteria,2022-03-19T00:00:00Z
CLI-10068,CRM-3826,Sorveteria Souza Filial,76639001.103.565/0001-51,sorveteria,2023-08-23T00:00:00Z
CLI-10069,CRM-5346,Padaria Oliveira Leste,65101893.225.195/0001-49,padaria,2025-04-15T00:00:00Z
CLI-10070,CRM-4840,Sorveteria Silva Oeste,53746328.636.434/0001-68,sorveteria,2021-06-06T00:00:00Z
CLI-10071,CRM-9418,Cafeteria Pereira Norte,35155166.877.992/0001-59,cafeteria,2022-11-09T00:00:00Z
CLI-10072,CRM-5610,Pizzaria Santos Leste,38153314.229.988/0001-44,pizzaria,2022-10-13T00:00:00Z
CLI-10073,CRM-2763,Restaurante Oliveira Oeste,43710258.903.191/0001-96,restaurante,2022-12-31T00:00:00Z
CLI-10074,CRM-6485,Cafeteria Souza Filial,98579668.257.518/0001-76,cafeteria,2024-07-04T00:00:00Z
CLI-10075,CRM-6338,Mercado Lima Centro,97455181.843.566/0001-58,mercado,2024-09-15T00:00:00Z
CLI-10076,CRM-7277,Bar Nascimento Filial,82406622.686.142/0001-33,bar,2021-04-06T00:00:00Z
CLI-10077,CRM-1653,Restaurante Costa Filial,13717739.543.827/0001-47,restaurante,2021-05-08T00:00:00Z
CLI-10078,CRM-9493,Confeitaria Carvalho Filial,95283419.648.622/0001-63,confeitaria,2022-10-17T00:00:00Z
CLI-10079,CRM-5653,Restaurante Almeida Centro,76922485.857.155/0001-42,restaurante,2023-06-17T00:00:00Z
